typeId;Englez?;DESCRIPTION;ASSOCIATED qualifierId VALUES;Qualifiers;Name
1;Pass;The attempted delivery of the ball from one player to another player on the same team. A player can use any part of their body (permitted in the laws of the game) to execute a pass. Event categorization includes open play passes, goal kicks, corners and free kicks played as passes. Crosses, keeper throws, and throw ins do not count as passes. outcome: 0 = Unsuccessful pass = pass did not find teammate | 1 = Successful pass;"qualifierId detailsqualifierId details
                    
                      1, 2, 3, 4, 5, 6, 15, 22, 23, 24, 25, 26, 29, 31, 55, 56, 74, 96, 97, 106, 107, 123, 124, 138, 140, 141, 152, 154, 155, 156, 157, 160, 168, 189, 195, 196, 198, 199, 210, 212, 213, 214, 218, 223, 224, 225, 233, 236, 237, 238, 240, 241, 266, 278, 279, 286, 287, 307, 345, 358, 359, 362, 459";1, 2, 3, 4, 5, 6, 15, 22, 23, 24, 25, 26, 29, 31, 55, 56, 74, 96, 97, 106, 107, 123, 124, 138, 140, 141, 152, 154, 155, 156, 157, 160, 168, 189, 195, 196, 198, 199, 210, 212, 213, 214, 218, 223, 224, 225, 233, 236, 237, 238, 240, 241, 266, 278, 279, 286, 287, 307, 345, 358, 359, 362, 459;Pase
2;Offside Pass;A pass attempt where the intended receiving player is called offside. outcome: always set to 1;"qualifierId detailsqualifierId details
                    
                      1, 2, 3, 4, 5, 6, 7, 8, 23, 55, 56, 107, 123, 124, 140, 141, 152, 189, 241, 297, 298, 307, 345, 362";1, 2, 3, 4, 5, 6, 7, 8, 23, 55, 56, 107, 123, 124, 140, 141, 152, 189, 241, 297, 298, 307, 345, 362;Pas? de offside
3;Take On;An attempt by one player to dribble past an opponent. outcome: 0 = Unsuccessful - player lost possession or was tackled | 1 = Successful take on;"qualifierId detailsqualifierId details
                    
                      23, 56, 138, 189, 211, 233, 285, 286, 307, 312, 362, 459";23, 56, 138, 189, 211, 233, 285, 286, 307, 312, 362, 459;Dribling
4;Foul;Indicates a foul has been committed. The event comes in pairs, with one for the team committing the foul (has outcome = 0) and another for the team fouled (outcome = 1).;"qualifierId detailsqualifierId details 
                    
                      9, 10, 11, 12, 13, 23, 34, 39, 40, 55, 56, 95, 132, 152, 184, 189, 233, 241, 242, 264, 265, 285, 286, 289, 294, 295, 296, 307, 313, 348, 362";9, 10, 11, 12, 13, 23, 34, 39, 40, 55, 56, 95, 132, 152, 184, 189, 233, 241, 242, 264, 265, 285, 286, 289, 294, 295, 296, 307, 313, 348, 362;Fault
5;Out;When the ball has left the field of play for a goal kick or throw in. Does not include corners. (outcome = 0) and another for the team who will resume the match in possession (outcome = 1).;"qualifierId detailsqualifierId details
                    
                      56, 189, 233, 362";56, 189, 233, 362;Aut
6;Corner Awarded;Indicates the ball has gone out of play for a corner kick. The event comes in pairs, with one for the team who have conceded the corner (outcome = 0) and another for the team who have won the corner (outcome = 1).;"qualifierId detailsqualifierId details
                    
                      56, 73, 75, 189, 219, 220, 221, 222, 233, 361, 362";56, 73, 75, 189, 219, 220, 221, 222, 233, 361, 362;Corner acordat
7;Tackle;A tackle is defined when a player connects with the ball in a legal, ground level challenge and successfully takes the ball away from the opposition player. The tackled player must be in controlled possession of the ball to be tackled by an opposition player. outcome = 1: tackling player's team gains possession or the ball goes out of play. outcome = 0: possession remains with the opponent.;"qualifierId detailsqualifierId details
                    
                      14, 56, 167, 189, 233, 285, 286, 307, 312, 362";14, 56, 167, 189, 233, 285, 286, 307, 312, 362;Tackle
8;Interception;When a player intercepts any pass event between opposition players and prevents the ball reaching its target. Cannot be a clearance. outcome: always set to 1;"qualifierId detailsqualifierId details
                    
                      13, 14, 15, 31, 32, 56, 138, 189, 307, 312, 362, 459";13, 14, 15, 31, 32, 56, 138, 189, 307, 312, 362, 459;Interceptare
10;Save;A goalkeeper preventing the ball from entering the goal with any part of their body when facing an intentional attempt from an opposition player. Can also be an outfield player event with qualifierId 94 for blocked shot. outcome: always set to 1;"qualifierId detailsqualifierId details
                    
                      1, 2, 9, 14, 15, 17, 21, 25, 14, 29, 55, 56, 82,88, 90, 91, 92, 93, 94, 101, 102, 103, 128, 137, 139, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 189, 190, 233, 239, 267, 268, 269, 270, 271, 272, 273, 274, 275, 277, 284, 285, 307, 312, 362, 389";1, 2, 9, 14, 15, 17, 21, 25, 14, 29, 55, 56, 82,88, 90, 91, 92, 93, 94, 101, 102, 103, 128, 137, 139, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 189, 190, 233, 239, 267, 268, 269, 270, 271, 272, 273, 274, 275, 277, 284, 285, 307, 312, 362, 389;Salvare
11;Claim;"Goalkeeper only event; goalkeeper attempts to catch an aerial ball. outcome:
                    0 = Keeper drops the ball after an attempted catch from a cross. They may then pick up the ball again and retain possession - this would be a separate event.
                    1 = Keeper catches the cross in one attempt, for example no drop.";"qualifierId detailsqualifierId details
                    
                      1, 2, 20, 56, 7288, 128, 189, 223, 334, 445 307, 312, 362";1, 2, 20, 56, 7288, 128, 189, 223, 334, 445 307, 312, 362;Minge prins?
12;Clearance;A defensive action when a player attempts to get the ball away from a dangerous zone on the pitch with no immediate target regarding a recipient for the ball. outcome: always set to 1;"qualifierId detailsqualifierId details
                    
                      1, 2, 1415, 56, 91 128, 138, 140, 141, 167, 185, 189, 212, 213, 233, 284, 285, 307, 362, 397";1, 2, 1415, 56, 91 128, 138, 140, 141, 167, 185, 189, 212, 213, 233, 284, 285, 307, 362, 397;Degajare
13;Miss;A shot which goes/is projected to travel wide or over the goal. outcome: always set to 1;"qualifierId detailsqualifierId details
                    
                      1, 2, 9, 14 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 55, 56, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 96, 97, 102, 103, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 133, 137, 138, 146, 147, 153, 154, 160, 188, 189, 214, 215, 233, 249, 250, 251, 252, 253, 263, 266, 273, 274, 275, 276, 279, 286, 307, 314, 316, 321, 322, 323, 324, 328, 338, 362, 459";1, 2, 9, 14 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 55, 56, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 89, 96, 97, 102, 103, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 133, 137, 138, 146, 147, 153, 154, 160, 188, 189, 214, 215, 233, 249, 250, 251, 252, 253, 263, 266, 273, 274, 275, 276, 279, 286, 307, 314, 316, 321, 322, 323, 324, 328, 338, 362, 459;?ut pe lâng?
14;Post;A shot which directly hits the frame of the goal. outcome: always set to 1;"qualifierId detailsqualifierId details
                    
                      5, 9, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 55, 56, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 77, 81, 83, 84, 85, 86, 87, 89, 96, 97, 102, 103, 108, 109, 111, 112, 113, 114, 116, 117, 118, 119, 120, 121, 122, 133, 146, 147, 154, 160, 214, 215, 230, 231, 233, 249, 250, 251, 252, 253, 263, 266, 286, 307, 316, 321, 322, 323, 324, 328, 338, 362, 459";5, 9, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 55, 56, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 77, 81, 83, 84, 85, 86, 87, 89, 96, 97, 102, 103, 108, 109, 111, 112, 113, 114, 116, 117, 118, 119, 120, 121, 122, 133, 146, 147, 154, 160, 214, 215, 230, 231, 233, 249, 250, 251, 252, 253, 263, 266, 286, 307, 316, 321, 322, 323, 324, 328, 338, 362, 459;?ut în bar?
15;Attempt Saved;A shot which is saved by the goalkeeper or blocked by an opposition player. The player performing the event is the shooter. outcome: always set to 1;"qualifierId detailsqualifierId details
                    
                      1, 2, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 55, 56, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 9, 9, 89, 100, 101, 102, 103, 108, 113, 114, 117, 120, 121, 122, 133, 138, 139, 146, 147, 154, 160, 189, 192, 214, 215, 233, 249, 250, 251, 252, 253, 263, 266, 273, 274, 275, 285, 286, 301, 307, 314, 316, 321, 322, 323, 324, 328, 338, 362";1, 2, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 55, 56, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 9, 9, 89, 100, 101, 102, 103, 108, 113, 114, 117, 120, 121, 122, 133, 138, 139, 146, 147, 154, 160, 189, 192, 214, 215, 233, 249, 250, 251, 252, 253, 263, 266, 273, 274, 275, 285, 286, 301, 307, 314, 316, 321, 322, 323, 324, 328, 338, 362;?ut ap?rat
