Formation;A?ezare;formationPosition;Pozi?ie Detaliat? Scurt;X;Y;formationplayerId
442;4-4-2;2;RB;20;90;442-2
442;4-4-2;3;LB;20;10;442-3
442;4-4-2;5;RCB;20;65;442-5
442;4-4-2;6;LCB;20;35;442-6
41212;4-1-2-1-2;2;RB;20;90;41212-2
41212;4-1-2-1-2;3;LB;20;10;41212-3
41212;4-1-2-1-2;5;RCB;20;65;41212-5
41212;4-1-2-1-2;6;LCB;20;35;41212-6
433;4-3-3;2;RB;20;90;433-2
433;4-3-3;3;LB;20;10;433-3
433;4-3-3;5;RCB;20;65;433-5
433;4-3-3;6;LCB;20;35;433-6
451;4-5-1;2;RB;20;90;451-2
451;4-5-1;3;LB;20;10;451-3
451;4-5-1;5;RCB;20;65;451-5
451;4-5-1;6;LCB;20;35;451-6
4411;4-4-1-1;2;RB;20;90;4411-2
4411;4-4-1-1;3;LB;20;10;4411-3
4411;4-4-1-1;5;RCB;20;65;4411-5
4411;4-4-1-1;6;LCB;20;35;4411-6
4141;4-1-4-1;2;RB;20;90;4141-2
4141;4-1-4-1;3;LB;20;10;4141-3
4141;4-1-4-1;5;RCB;20;65;4141-5
4141;4-1-4-1;6;LCB;20;35;4141-6
4231;4-2-3-1;2;RB;20;90;4231-2
4231;4-2-3-1;3;LB;20;10;4231-3
4231;4-2-3-1;5;RCB;20;65;4231-5
4231;4-2-3-1;6;LCB;20;35;4231-6
4321;4-3-2-1;2;RB;20;90;4321-2
4321;4-3-2-1;3;LB;20;10;4321-3
4321;4-3-2-1;5;RCB;20;65;4321-5
4321;4-3-2-1;6;LCB;20;35;4321-6
532;5-3-2;4;LCB3;20;20;532-4
532;5-3-2;5;CB;20;50;532-5
532;5-3-2;6;RCB3;20;80;532-6
541;5-4-1;4;LCB3;20;20;541-4
541;5-4-1;5;CB;20;50;541-5
541;5-4-1;6;RCB3;20;80;541-6
352;3-5-2;4;LCB3;20;20;352-4
352;3-5-2;5;CB;20;50;352-5
352;3-5-2;6;RCB3;20;80;352-6
343;3-4-3;4;LCB3;20;20;343-4
343;3-4-3;5;CB;20;50;343-5
343;3-4-3;6;RCB3;20;80;343-6
31312;3-1-3-1-2;4;LCB3;20;20;31312-4
31312;3-1-3-1-2;5;CB;20;50;31312-5
31312;3-1-3-1-2;6;RCB3;20;80;31312-6
4222;4-2-2-2;2;RB;20;90;4222-2
4222;4-2-2-2;3;LB;20;10;4222-3
4222;4-2-2-2;5;RCB;20;65;4222-5
4222;4-2-2-2;6;LCB;20;35;4222-6
3511;3-5-1-1;4;LCB3;20;20;3511-4
3511;3-5-1-1;5;CB;20;50;3511-5
3511;3-5-1-1;6;RCB3;20;80;3511-6
3421;3-4-2-1;4;LCB3;20;20;3421-4
3421;3-4-2-1;5;CB;20;50;3421-5
3421;3-4-2-1;6;RCB3;20;80;3421-6
3412;3-4-1-2;4;LCB3;20;20;3412-4
3412;3-4-1-2;5;CB;20;50;3412-5
3412;3-4-1-2;6;RCB3;20;80;3412-6
3142;3-1-4-2;4;LCB3;20;20;3142-4
3142;3-1-4-2;5;CB;20;50;3142-5
