qualifierId;Englez?;DESCRIPTION;ASSOCIATED EVENT typeId VALUES;Qualifier Category;Name
1;Long ball;A pass over 32 metres in length;1, 2;Pass Type;Minge lung?
2;Cross;A ball played in from wide areas into the box;1, 2;Pass Type;Centrare
3;Head pass;A pass made with a player's head;1, 2;Pass Body Part;Pas? cu capul
4;Through ball;Ball played through for player making an attacking run to create a chance on goal;1, 2;Pass Details;Pas? printre
5;Free kick taken;Any free kick taken (direct or indirect);1, 2;Set-Piece Pass;Lovitur? liber? executat?
6;Corner taken;All corners taken. Look for qualifierId 6 but excluding qualifier IDs 1 and 2 for short corners;1, 2;Set-Piece Pass;Corner executat
8;Goal disallowed;Pass led to a goal disallowed for a foul or offside;2;Penalty Details;Gol anulat
9;Penalty;Indicates that a penalty has been taken (an attempt on goal was a penalty kick) or that a penalty has been awarded (with event typeId 4).;4, 10, 13, 14, 15, 16, 58, 65;Set-Piece Type;Penalty
10;Handball;Free kick or card is given for handball;4, 17;Infraction Type;Handbal
11;6-seconds violation;Goalkeeper held onto the ball longer than 6 seconds, resulting in a free kick;4;Infraction Type;Înc?lcare de 6 secunde
12;Dangerous play;A free kick or card is given due to dangerous play;4, 17;Infraction Type;Joc periculos
13;Foul;All fouls. A free kick or card is given for a foul;4, 17;Infraction Type;Fault
14;Last line;When a player makes a defensive action and they are the last player on their team between the opponent(s) and their own goal;7, 8, 10, 49;Defensive Action;Ultima linie
15;Head;The action is made using the player's head - for example, any event where the player used their head, such as a shot or a clearance - and added for 'Live' data. Note: From June 2020, it can also be added 'Post-match' to all 'touch' events, if applicable, but only for some competitions. When added as a post-match qualifier it will be shown once the post-match analysis is complete.;8, 12, 13, 14, 15, 16;Body Part;Cap
16;Small box - Centre;A defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Careul mic - centru
17;Box - Centre;A defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Box - Centru
18;Out of box - Centre;A defined zone of the pitch where an action takes place. See: Appendix 3 - Pitch zones;13, 14, 15, 16;Pitch Zone;Careul mic - Centru
